species_id,species_form,move_id,is_elite_move
1,NORMAL,34,False
1,NORMAL,59,False
1,NORMAL,81,False
1,NORMAL,746,False
1,NORMAL,753,False
2,NORMAL,59,False
2,NORMAL,79,False
2,NORMAL,81,False
2,NORMAL,746,False
2,NORMAL,747,False
3,NORMAL,4,False
3,NORMAL,24,False
3,NORMAL,59,False
3,NORMAL,79,False
3,NORMAL,192,True
3,NORMAL,746,False
3,NORMAL,747,False
4,NORMAL,8,False
4,NORMAL,67,False
4,NORMAL,68,False
4,NORMAL,741,False
4,NORMAL,752,False
5,NORMAL,8,False
5,NORMAL,68,False
5,NORMAL,78,False
5,NORMAL,741,False
5,NORMAL,752,True
5,NORMAL,772,False
6,NORMAL,8,True
6,NORMAL,52,False
6,NORMAL,69,False
6,NORMAL,82,False
6,NORMAL,166,False
6,NORMAL,194,True
6,NORMAL,736,True
6,NORMAL,741,True
6,NORMAL,742,True
6,NORMAL,787,False
6,NORMAL,801,False
7,NORMAL,32,False
7,NORMAL,33,False
7,NORMAL,71,False
7,NORMAL,753,False
7,NORMAL,769,False
8,NORMAL,19,False
8,NORMAL,32,False
8,NORMAL,73,False
8,NORMAL,734,False
8,NORMAL,762,False
9,NORMAL,17,False
9,NORMAL,19,False
9,NORMAL,73,False
9,NORMAL,195,True
9,NORMAL,198,False
9,NORMAL,734,False
9,NORMAL,762,False
9,NORMAL,891,False
10,NORMAL,91,False
10,NORMAL,733,False
10,NORMAL,753,False
11,NORMAL,91,False
11,NORMAL,733,False
11,NORMAL,753,False
12,NORMAL,26,False
12,NORMAL,65,False
12,NORMAL,74,False
12,NORMAL,733,True
12,NORMAL,767,False
12,NORMAL,793,False
13,NORMAL,91,False
13,NORMAL,733,False
13,NORMAL,768,False
14,NORMAL,91,False
14,NORMAL,733,False
14,NORMAL,768,False
15,NORMAL,22,False
15,NORMAL,23,True
15,NORMAL,59,False
15,NORMAL,66,False
15,NORMAL,206,False
15,NORMAL,733,True
15,NORMAL,756,False
15,NORMAL,768,False
15,NORMAL,792,False
16,NORMAL,22,False
16,NORMAL,50,False
16,NORMAL,82,False
16,NORMAL,751,False
16,NORMAL,753,False
17,NORMAL,22,False
17,NORMAL,50,False
17,NORMAL,82,False
